episode: 10, reward: -103.68033713950031
episode: 20, reward: -105.00127392787114
episode: 30, reward: -129.8407569222658
episode: 40, reward: -103.02944136174756
episode: 50, reward: -96.89509986760592
episode: 60, reward: -135.2659250932412
episode: 70, reward: -101.88763915847794
episode: 80, reward: -129.34465810440514
episode: 90, reward: -109.78111028025796
episode: 100, reward: -110.52105753640605
episode: 110, reward: -148.3280984551174
episode: 120, reward: -125.03568276130055
episode: 130, reward: -99.98530290028204
episode: 140, reward: -96.39417181490671
episode: 150, reward: -101.45567451012849
episode: 160, reward: -122.19470078156601
episode: 170, reward: -105.2109894119557
episode: 180, reward: -99.314592666011
episode: 190, reward: -127.92673452293172
episode: 200, reward: -102.404255539089
episode: 210, reward: -120.56372917706582
episode: 220, reward: -112.12283761482065
episode: 230, reward: -112.12359756808293
episode: 240, reward: -119.8879652504654
episode: 250, reward: -107.26989358069127
episode: 260, reward: -136.2389527078355
episode: 270, reward: -98.7297747927341
episode: 280, reward: -101.65170650749266
episode: 290, reward: -128.05869282999765
episode: 300, reward: -100.24114224208724
episode: 310, reward: -122.16463646513176
episode: 320, reward: -97.08569695632106
episode: 330, reward: -107.71461147888004
episode: 340, reward: -131.87518332016978
episode: 350, reward: -100.75982599047956
episode: 360, reward: -102.86818879721515
episode: 370, reward: -117.00462516311417
episode: 380, reward: -105.91963844968603
episode: 390, reward: -113.72439363976427
episode: 400, reward: -102.12778018502365
episode: 410, reward: -101.31377552107381
episode: 420, reward: -104.45207048462176
episode: 430, reward: -128.75482450530296
episode: 440, reward: -123.26120401548098
episode: 450, reward: -96.75472948880369
episode: 460, reward: -110.43148543164413
episode: 470, reward: -102.56678835199943
episode: 480, reward: -105.19448468215454
episode: 490, reward: -107.93255395405585
episode: 500, reward: -97.53523206920673
episode: 510, reward: -99.87765632733758
episode: 520, reward: -98.7924190961391
episode: 530, reward: -95.6075610905417
episode: 540, reward: -118.29093420115021
episode: 550, reward: -104.82641848480019
episode: 560, reward: -108.27085067157532
episode: 570, reward: -120.52021643044631
episode: 580, reward: -109.22499619858657
episode: 590, reward: -97.34789904950807
episode: 600, reward: -111.06063396034655
episode: 610, reward: -137.802579477879
episode: 620, reward: -99.80832926775639
episode: 630, reward: -98.57242057417155
episode: 640, reward: -154.6341423399137
episode: 650, reward: -115.33539832249058
episode: 660, reward: -101.51461250172649
episode: 670, reward: -98.47065697353736
episode: 680, reward: -102.58094877569067
episode: 690, reward: -121.74629860528478
episode: 700, reward: -49.37353795370755
episode: 710, reward: -123.80120428193959
